question,answer_llm,answer_orig,document
I just found this course — is it too late to join now?,"Yes — you can still join now.

If you want a certificate, make sure to submit your project while submissions are still open.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
Can I still take the course if I discovered it late?,"Yes, you can still join the course if you discovered it late. If you want a certificate, make sure to submit your project while submissions are still being accepted.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
Is it okay to join the course after it already started?,"Yes, you can still join after the course has already started. If you want to receive a certificate, you need to submit your project while submissions are still being accepted.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"If I join now, can I still get a certificate somehow?","Yes — if you join now, you can still get a certificate **as long as you submit your capstone project while a live cohort is still accepting submissions** and complete the required peer reviews.

You can also work through the course in self-paced mode, but the certificate itself is only available through a live cohort.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
What do I need to do to qualify for the certificate if I'm joining late?,"To qualify for the certificate, you need to finish the course with a live cohort, complete the capstone project, and do the required peer reviews. Homework is not required.

If you’re joining late, you can still prepare in self-paced mode, but your project submission and peer reviews must happen while a live cohort is still accepting them.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"I registered for the LLM Zoomcamp, but I still didn’t get any confirmation email — is that normal?","Yes, that’s normal. You don’t need a confirmation email — you’re already accepted.

You can start learning and submitting homework while the form is open, and registration is only used to gauge interest before the course starts.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
Do I actually need to wait for an acceptance or confirmation message before I start the LLM Zoomcamp?,"No — you don’t need to wait for an acceptance or confirmation email. You’re accepted, and you can start learning and submitting homework as soon as the course materials and homework form are available.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
"If I signed up for the course, does that mean my spot is already approved, or is there another email coming?",You’re already accepted — no separate approval email is needed. You can just start learning and submit homework while the form is open.,You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
"Can I begin watching the LLM Zoomcamp lessons and submit homework right after registering, or do I need to be officially registered first?","You don’t need to be officially registered first. You can start watching the lessons and submit homework as soon as the submission form is open, even without a registration check. Registration is only used to gauge interest.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
What is the point of the registration form if there’s no confirmation email and no registered list checked for the course?,"The registration form is just to gauge interest before the course starts. You don’t need a confirmation email, and the registration isn’t checked against any registered list. You can just start learning and submitting homework while the form is open.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
