question,document
I found this course late — can I still enroll and start from here?,74eb249bbf
"If I join after the course has already started, am I still able to take part?",74eb249bbf
"Is it too late to join the course now, or can I still begin?",74eb249bbf
I missed the start date — can I still do the course and get involved?,74eb249bbf
"Can late joiners still get a certificate, or is that only for people who started on time?",74eb249bbf
"I signed up for the LLM Zoomcamp, but I never got any confirmation email — should I still be good to go?",977bf7786c
Do I actually need a registration confirmation before I can start the course and submit homework?,977bf7786c
"Is there some accepted list I should be on after registering, or can I just begin learning right away?",977bf7786c
What's the point of registering for the LLM Zoomcamp if it isn't tied to homework access or approval?,977bf7786c
"If the signup form is already open, can I jump into the course without waiting for any email response?",977bf7786c
How do students join the Office Hours or live workshop stream if the Zoom link isn’t public?,489dd1c9d9
Where should I look for the live video link before an Office Hours session starts?,489dd1c9d9
"If I want to ask a question during a live session, should I use chat or Slido?",489dd1c9d9
Can I watch the workshop live on YouTube instead of using Zoom?,489dd1c9d9
Why are we told not to post questions in the chat during Office Hours?,489dd1c9d9
"Where should I begin if I’m just joining LLM Zoomcamp, and what order should I follow each week?",04919992b3
"Can I start the course anytime, and where do I find the lesson videos, notebooks, and deadlines?",04919992b3
What’s the usual weekly routine for this course before I hand in homework?,04919992b3
"Do I need to follow a specific sequence between watching the lecture, coding the notebook, and doing the assignment?",04919992b3
"Is the homework basically the same as the lesson work, or does it use a different dataset/task?",04919992b3
"Why can’t I find my name on the leaderboard, and how do I jump to my own entry?",c2903069a0
"What name am I given when my account is created, and can I change it later?",c2903069a0
Where do I check the display name that shows up for me in the course?,c2903069a0
How do I stop the random name from appearing on my certificate?,c2903069a0
What’s the difference between the nickname field and the official name field in the course profile?,c2903069a0
Can I take the course on my own schedule and still get the certificate?,69d122f12e
"If I do all the lessons by myself, do I qualify for a certificate later?",69d122f12e
What do I need to complete to actually get the course certificate?,69d122f12e
"Is homework mandatory for the certificate, or is the project enough?",69d122f12e
Can I prepare the capstone in self-paced mode and submit it once a live cohort starts?,69d122f12e
"If I skipped the first homework, can I still earn the certificate for the course?",9f689c185f
"Is homework required to get the certificate, or is the Capstone project enough?",9f689c185f
Do I have to complete every homework assignment to pass and receive a certificate?,9f689c185f
What do I need to finish in order to get the certificate if I missed some homework?,9f689c185f
"Are homework points mandatory for certification, or are they only for the leaderboard?",9f689c185f
Why does the homework content keep changing before I can submit it?,96286b4be4
"If I see [DRAFT] in the homework title, does that mean it’s still not final?",96286b4be4
"When is a homework actually ready, and how can I tell?",96286b4be4
"Can I start doing the homework before the form is open, or is it risky?",96286b4be4
What does it mean if the homework page still shows [DRAFT] even though I already started working on it?,96286b4be4
When is llm-zoomcamp going to be offered again?,bd31146b0e
Do you know the next time this course will run?,bd31146b0e
Is there a scheduled start for the next llm-zoomcamp session?,bd31146b0e
When should I expect the next offering of this course?,bd31146b0e
Will llm-zoomcamp be available again in Summer 2027?,bd31146b0e
Where do I actually find the lecture videos for this course?,31456f4b5f
Is there a main place I should start from instead of searching around for videos?,31456f4b5f
"Do the lesson pages in the repo include the video links, or do I need to look somewhere else?",31456f4b5f
"Should I rely on the YouTube playlist, or is the GitHub repo the better source for the latest lessons?",31456f4b5f
How do I get to the videos for each lesson without missing any updates?,31456f4b5f
Where should I go to see the current LLM Zoomcamp syllabus and course structure?,20c5a1347e
"Is there one place where I can check homework, deadlines, and my progress for LLM Zoomcamp?",20c5a1347e
What’s the official site for tracking the LLM Zoomcamp cohort and assignments?,20c5a1347e
Do we use a course management platform for LLM Zoomcamp updates and progress tracking?,20c5a1347e
Where can I find the latest LLM Zoomcamp deadlines and homework details in one dashboard?,20c5a1347e
"Does every module in the LLM Zoomcamp have its own live session or office hour, or are the lessons just pre-recorded in the repo?",d65e05bd7a
"If I get stuck while going through a module, where should I ask for help and is there a specific way to do that?",d65e05bd7a
"How do I find out when a live session for the course is happening, since it doesn't seem to be scheduled for each module?",d65e05bd7a
Is there any extra support option with regular Zoom office hours if I want more structure while taking the course?,d65e05bd7a
Are the core LLM Zoomcamp materials still free even if I don't join the paid support community?,d65e05bd7a
Can I count my Bluesky posts toward the learning in public credits?,dbf5369006
Does posting on Bluesky qualify for the course learning in public requirement?,dbf5369006
Are Bluesky updates accepted as learning in public credits?,dbf5369006
"If I share my course progress on Bluesky, will that be credited?",dbf5369006
Is Bluesky a valid platform for earning learning in public credits?,dbf5369006
What’s the Telegram channel for LLM Zoomcamp?,054f3fd58f
Where can I find the course Telegram link?,054f3fd58f
Is there a Telegram group for LLM Zoomcamp announcements?,054f3fd58f
Should I use Telegram or Slack for technical questions in LLM Zoomcamp?,054f3fd58f
What channel do I join for course announcements and where do I ask technical stuff?,054f3fd58f
Why does my FAQ dataset have a different number of records than the one shown in the videos?,e2d595f23c
Is it normal that the FAQ data count keeps changing when I run the code?,e2d595f23c
Why are there fewer or more FAQ entries in my download compared to the course video?,e2d595f23c
Did the course dataset get updated since the videos were recorded?,e2d595f23c
Why doesn't my record count match the FAQ example from May 2026?,e2d595f23c
The deadline already passed but the homework form is still open — can I still turn it in?,a9353fadfe
"If I missed the due date, do I lose the chance to submit, or is the form still okay while it’s open?",a9353fadfe
Can I send my homework after the deadline if the submission page hasn’t been closed yet?,a9353fadfe
Is it allowed to submit late as long as the homework form is still available?,a9353fadfe
"When exactly can’t I submit anymore — only after the form gets closed, right?",a9353fadfe
Can I turn in homework after the deadline if the form is still open?,cdc3b285e5
Do you ever give deadline extensions for homework in this course?,cdc3b285e5
What happens if I miss a homework assignment — does it affect the certificate?,cdc3b285e5
Are late homework submissions accepted once the submission form is closed?,cdc3b285e5
